斥/岿/老,辆啊,措厚,芭贰樊(林),扁包_概荐樊(林),扁包_概档樊(林),扁包_鉴概荐(林),寇惫牢_概荐樊(林),寇惫牢_概档樊(林),寇惫牢_鉴概荐(林),辆格内靛,辆格疙,isu_cd
2001/05/31,7210.0,160.0,161230,6450,0,6450,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/30,7050.0,250.0,140130,22290,5050,17240,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/29,6800.0,250.0,176490,32400,7190,25210,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/28,6550.0,-550.0,154160,4820,9810,-4990,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/25,7100.0,720.0,349420,53380,22010,31370,0,1900,-1900,000060,皋府明拳犁,KR7000060004
2001/05/24,6380.0,670.0,278270,20000,32010,-12010,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/23,5710.0,150.0,140020,22100,35000,-12900,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/22,5560.0,500.0,398590,85000,45500,39500,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/21,5060.0,655.0,188230,60000,27960,32040,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/18,4405.0,115.0,196270,62030,63570,-1540,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/17,4290.0,70.0,51390,0,9150,-9150,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/16,4220.0,20.0,37220,0,7000,-7000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/15,4200.0,40.0,47730,0,16860,-16860,0,100,-100,000060,皋府明拳犁,KR7000060004
2001/05/14,4160.0,10.0,33870,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/11,4150.0,-10.0,32830,0,7000,-7000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/10,4160.0,-40.0,22460,2200,0,2200,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/09,4200.0,-105.0,35720,6500,0,6500,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/08,4305.0,-35.0,43050,22910,260,22650,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/07,4340.0,140.0,80960,6490,16320,-9830,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/04,4200.0,-10.0,34390,9990,0,9990,0,0,0,000060,皋府明拳犁,KR7000060004
2001/05/03,4210.0,-40.0,63720,25470,10,25460,0,240,-240,000060,皋府明拳犁,KR7000060004
2001/05/02,4250.0,200.0,169360,0,51850,-51850,0,70,-70,000060,皋府明拳犁,KR7000060004
2001/04/30,4050.0,150.0,106890,18240,38010,-19770,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/27,3900.0,-100.0,61010,9000,0,9000,310,0,310,000060,皋府明拳犁,KR7000060004
2001/04/26,4000.0,440.0,213990,23160,27010,-3850,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/25,3560.0,95.0,44760,2000,0,2000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/04/24,3465.0,-35.0,13740,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
